Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Rating,Critic_Score_Class
2,22,45,"0,06",0,0,0,"0,07",33,37
4,26,45,"0,06",0,0,"0,01","0,07",31,37
5,22,45,0,"0,05","0,01","0,01","0,07",31,40
5,19,45,0,"0,06",0,"0,01","0,07",30,39
3,26,45,"0,03","0,03",0,"0,01","0,07",31,37
2,26,45,"0,06",0,0,0,"0,06",33,37
9,22,45,"0,03","0,02",0,0,"0,06",31,37
9,23,45,"0,05",0,0,0,"0,05",32,37
9,21,45,0,"0,05",0,0,"0,05",33,39
6,23,45,"0,04",0,0,"0,01","0,05",32,39
10,28,45,"0,04","0,01",0,0,"0,05",31,40
1,25,45,"0,03",0,0,0,"0,04",31,39
10,22,45,0,"0,04",0,0,"0,04",31,40
3,27,45,"0,02","0,01",0,0,"0,04",31,39
6,29,45,"0,01","0,02",0,0,"0,03",32,40
3,27,45,"0,01","0,01",0,0,"0,03",30,39
2,22,45,"0,03",0,0,0,"0,03",30,37
3,22,45,"0,01","0,01",0,0,"0,02",32,37
12,23,45,0,"0,02",0,0,"0,02",32,37
10,19,45,0,"0,01",0,0,"0,02",30,38
2,27,45,0,0,"0,01",0,"0,01",31,37
4,25,45,0,0,"0,01",0,"0,01",31,38
6,23,45,0,"0,01",0,0,"0,01",32,38
6,29,45,"0,01",0,0,0,"0,01",31,37
6,23,45,0,"0,01",0,0,"0,01",32,39
9,25,45,0,0,"0,01",0,"0,01",31,37
7,27,45,"0,01",0,0,0,"0,01",33,39
6,23,45,0,0,0,0,"0,01",31,37
7,28,46,0,0,"0,04",0,"0,04",32,38
6,29,47,"0,06","0,1",0,0,"0,16",31,37
3,19,48,"1,13","1,12","0,06","0,22","2,52",31,40
3,18,48,"0,67","0,53",0,"0,18","1,38",31,40
3,23,48,"0,64","0,5",0,"0,17","1,31",32,38
8,18,48,"0,91","0,11",0,"0,03","1,05",30,40
3,19,48,"0,42","0,32",0,"0,11","0,85",30,40
3,18,48,"0,38","0,29",0,"0,1","0,77",30,40
3,25,48,"0,37","0,29",0,"0,1","0,76",31,37
3,19,48,"0,36","0,28",0,"0,1","0,74",30,39
3,18,48,"0,27","0,21",0,"0,07","0,56",30,39
11,23,48,"0,39","0,14",0,"0,02","0,55",32,38
13,19,48,"0,36","0,09","0,02","0,01","0,49",31,38
3,18,48,"0,21","0,16",0,"0,05","0,42",30,39
3,19,48,"0,2","0,15",0,"0,05","0,4",30,38
13,23,48,"0,3","0,08",0,"0,01","0,38",32,38
3,18,48,"0,17","0,13",0,"0,04","0,35",31,40
3,25,48,"0,16","0,13",0,"0,04","0,33",31,37
3,18,48,"0,16","0,12",0,"0,04","0,32",30,39
13,19,48,"0,23","0,06",0,"0,01","0,3",30,39
3,25,48,"0,15","0,11",0,"0,04","0,3",31,37
13,19,48,"0,22","0,06",0,"0,01","0,28",30,38
13,18,48,"0,21","0,06",0,"0,01","0,28",31,39
3,18,48,"0,14","0,11",0,"0,04","0,28",31,38
8,18,48,"0,15","0,1",0,"0,02","0,27",30,38
3,19,48,"0,13","0,1",0,"0,03","0,27",30,40
11,18,48,"0,19","0,06",0,"0,01","0,26",30,39
11,27,48,"0,19","0,06",0,"0,01","0,26",31,39
3,20,48,"0,12","0,09",0,"0,03","0,24",31,38
11,19,48,"0,18","0,05",0,"0,01","0,24",30,40
3,19,48,"0,11","0,09",0,"0,03","0,23",31,37
13,18,48,"0,17","0,04",0,"0,01","0,22",30,38
3,18,48,"0,11","0,08",0,"0,03","0,22",30,38
8,25,48,"0,12","0,08",0,"0,01","0,21",30,37
11,18,48,"0,15","0,04",0,"0,01","0,2",31,39
3,19,48,"0,08","0,06",0,"0,02","0,17",30,37
3,28,48,"0,08","0,06",0,"0,02","0,16",32,38
13,19,48,"0,12","0,03",0,0,"0,15",30,40
3,19,48,"0,08","0,06",0,"0,02","0,15",30,37
13,19,48,"0,12","0,03",0,0,"0,15",30,40
13,18,48,"0,12","0,03",0,0,"0,15",30,40
11,18,48,"0,11","0,03",0,"0,01","0,15",30,39
3,18,48,"0,07","0,06",0,"0,02","0,15",32,37
3,22,48,"0,07","0,05",0,"0,02","0,14",31,38
11,18,48,"0,1","0,03",0,0,"0,14",30,38
11,25,48,"0,1","0,03",0,0,"0,14",31,38
13,25,48,"0,1","0,03",0,0,"0,13",31,37
11,18,48,"0,1","0,03",0,0,"0,13",30,39
11,19,48,"0,09","0,03",0,0,"0,13",30,39
3,22,48,"0,06","0,05",0,"0,02","0,12",32,38
13,19,48,"0,09","0,02",0,0,"0,12",30,37
15,23,48,"0,08","0,03",0,0,"0,12",31,39
13,19,48,"0,09","0,02",0,0,"0,11",30,37
8,25,48,"0,06","0,04",0,"0,01","0,11",30,37
3,29,48,"0,05","0,04",0,"0,01","0,11",31,38
3,22,48,"0,05","0,04",0,"0,01","0,11",31,38
11,18,48,"0,08","0,02",0,0,"0,11",32,37
11,20,48,"0,08","0,02",0,0,"0,1",31,38
3,19,48,"0,05","0,04",0,"0,01","0,09",30,38
13,18,48,"0,06","0,02",0,0,"0,08",30,40
15,25,48,"0,05","0,02",0,0,"0,07",30,37
13,18,48,"0,05","0,01",0,0,"0,06",32,38
11,18,48,"0,05","0,01",0,0,"0,06",31,40
3,19,48,"0,03","0,02",0,"0,01","0,06",31,38
13,20,48,"0,05","0,01",0,0,"0,06",31,39
13,18,48,"0,04","0,01",0,0,"0,06",31,40
11,19,48,"0,04","0,01",0,0,"0,05",30,38
11,22,48,"0,04","0,01",0,0,"0,05",32,38
11,22,48,"0,04","0,01",0,0,"0,05",31,38
13,24,48,"0,02",0,0,0,"0,02",30,38
13,19,48,"0,02",0,0,0,"0,02",31,38
11,19,48,"0,02",0,0,0,"0,02",31,38
1,27,49,"0,05","0,04",0,"0,01","0,1",31,39
7,27,50,"0,06",0,"0,08","0,01","0,14",31,38
9,23,51,"9,06","4,26","0,13","1,33","14,77",32,40
9,23,51,"9,73","3,7","0,11","1,13","14,67",32,40
4,23,51,"4,99","5,73","0,65","2,42","13,79",32,40
9,23,51,"8,25","4,26","0,07","1,12","13,69",32,40
9,23,51,"8,52","3,6","0,08","1,28","13,48",32,40
4,23,51,"5,54","5,73","0,49","1,57","13,32",32,40
4,23,51,6,"4,37","0,48","1,8","12,64",32,40
4,23,51,"4,99","3,64","0,38","1,6","10,6",32,40
9,23,51,"6,75","2,58","0,04","0,91","10,28",32,39
4,23,51,"4,1","3,63","0,38","1,26","9,37",32,39
9,23,51,"5,95","2,37","0,13","0,9","9,35",32,40
5,23,51,"2,83","3,48","0,14","1,24","7,68",32,40
9,23,51,"4,83","1,9",0,"0,7","7,42",32,40
4,23,51,"3,11","2,26","0,28","1,03","6,69",32,40
6,27,51,"0,09","6,22",0,0,"6,31",31,40
5,23,51,"2,15","2,57","0,16","0,93","5,8",32,39
5,23,51,"2,5","2,07","0,16","0,93","5,66",31,39
4,23,51,"2,73","1,83",0,"0,83","5,4",32,40
10,23,51,"3,24","1,55","0,01","0,48","5,28",32,40
6,27,51,"2,45","2,17",0,"0,54","5,17",32,40
8,18,51,"3,42","1,38","0,02","0,2","5,02",31,40
3,21,51,"3,49","0,01","0,01","1,48","4,98",31,40
6,29,51,"2,58","1,69",0,"0,59","4,85",31,40
8,18,51,"3,05","1,41","0,02","0,2","4,68",31,40
1,21,51,"3,04","1,11",0,"0,43","4,6",31,40
9,21,51,"3,19","0,91","0,01","0,42","4,53",31,40
3,22,51,"2,71","1,51","0,03","0,23","4,48",30,39
3,18,51,"2,66","1,29","0,01","0,46","4,41",31,40
6,27,51,"2,57","1,52",0,0,"4,09",31,40
3,18,51,"2,29","1,17","0,01","0,42","3,9",31,40
5,23,51,"1,78","1,43","0,05","0,57","3,83",32,39
9,22,51,"2,4","1,01",0,"0,36","3,76",33,39
3,18,51,"2,13","1,18","0,01","0,35","3,67",31,40
1,21,51,"2,32","0,96",0,"0,34","3,62",31,40
10,23,51,"2,25","0,98",0,"0,33","3,56",32,39
2,21,51,"2,1","1,01","0,01","0,35","3,46",33,39
3,22,51,"1,75","1,2","0,02","0,43","3,41",31,40
10,23,51,"2,14","0,92",0,"0,31","3,38",31,39
3,22,51,"1,89","1,05","0,02","0,31","3,27",32,39
8,22,51,"1,7","1,25","0,02","0,16","3,13",30,40
9,22,51,"1,91","0,84",0,"0,29","3,05",33,39
10,23,51,"1,88","0,77",0,"0,27","2,93",32,39
3,23,51,"1,51","1,12","0,01","0,24","2,89",31,39
1,22,51,"1,35","1,13",0,"0,3","2,78",33,40
9,23,51,"1,49","0,92","0,02","0,27","2,7",31,40
3,23,51,"1,48","0,92","0,01","0,26","2,67",31,39
9,21,51,"1,78","0,63",0,"0,25","2,66",31,40
5,23,51,"0,99","1,03","0,16","0,4","2,57",31,40
1,22,51,"1,49","0,83",0,"0,21","2,53",33,39
9,27,51,"2,29","0,02",0,"0,19","2,5",31,40
3,18,51,"1,25","0,86","0,01","0,26","2,37",31,40
4,21,51,"1,4","0,53","0,02","0,3","2,24",31,40
1,23,51,"1,17","0,84",0,"0,23","2,24",31,38
9,21,51,"2,01","0,02",0,"0,17","2,2",31,40
2,22,51,"1,4","0,59",0,"0,2","2,2",30,40
11,27,51,"1,68","0,44",0,"0,08","2,19",31,40
7,23,51,"0,52","1,02",0,"0,59","2,13",31,38
6,27,51,"1,77","0,32",0,0,"2,08",31,40
9,23,51,"1,84","0,04","0,01","0,16","2,05",31,40
8,22,51,"0,95","0,64","0,27","0,13","1,99",32,40
5,23,51,"0,78","0,79","0,05","0,31","1,94",31,40
1,23,51,"1,17","0,58",0,"0,18","1,94",32,40
3,27,51,1,"0,72",0,"0,21","1,93",31,39
4,21,51,"1,1","0,55",0,"0,27","1,92",31,40
4,27,51,"0,72","0,75","0,16","0,29","1,91",32,40
3,20,51,"1,12","0,69","0,03","0,02","1,86",30,39
6,27,51,"0,84","0,76",0,"0,22","1,82",31,40
3,26,51,"0,61","0,87","0,02","0,26","1,76",31,40
11,23,51,"1,24","0,45",0,"0,07","1,75",31,40
6,23,51,"0,41","0,98",0,"0,32","1,72",32,39
6,29,51,"0,84","0,66",0,"0,18","1,68",31,40
11,23,51,"1,22","0,39",0,"0,06","1,67",31,40
8,18,51,"1,09","0,49","0,02","0,07","1,67",30,40
6,23,51,"0,58","0,81",0,"0,23","1,63",32,40
6,27,51,"0,01","1,58",0,0,"1,59",32,40
2,21,51,"0,84","0,57",0,"0,16","1,57",33,39
8,22,51,"0,57","0,87","0,02","0,09","1,55",30,39
1,21,51,"0,92","0,48",0,"0,15","1,55",31,40
6,29,51,"0,58","0,87",0,"0,09","1,54",31,40
16,22,51,"0,72","0,47","0,07","0,28","1,54",32,37
6,23,51,"0,64","0,7",0,"0,2","1,53",32,39
4,23,51,"0,6","0,62","0,03","0,26","1,5",31,40
9,22,51,"0,82","0,51","0,01","0,14","1,48",31,38
3,18,51,"0,7","0,54",0,"0,18","1,42",31,37
9,27,51,"0,9","0,39",0,"0,12","1,41",32,40
11,22,51,"1,07","0,28",0,"0,05","1,4",30,39
1,22,51,"0,9","0,38",0,"0,12","1,4",33,39
11,22,51,"0,96","0,37",0,"0,05","1,38",32,39
2,22,51,"1,26","0,02",0,"0,1","1,38",30,38
1,23,51,"0,8","0,45",0,"0,12","1,37",32,40
11,27,51,"0,99","0,33",0,"0,05","1,37",31,40
11,23,51,"0,85","0,43",0,"0,06","1,34",32,40
10,23,51,"0,81","0,4",0,"0,12","1,33",31,40
9,20,51,"0,87","0,34",0,"0,12","1,33",33,40
6,27,51,"0,01","0,13",0,"1,18","1,32",31,40
3,20,51,"0,78","0,45",0,"0,07","1,31",33,38
9,22,51,"0,84","0,35",0,"0,12","1,31",32,39
9,22,51,"0,76","0,44",0,"0,11","1,31",33,40
1,21,51,"1,03","0,14",0,"0,1","1,27",31,39
11,18,51,"0,85","0,37",0,"0,05","1,27",31,40
11,22,51,"0,82","0,38",0,"0,04","1,24",31,38
4,22,51,"0,65","0,4",0,"0,19","1,24",32,39
9,21,51,1,"0,13",0,"0,1","1,23",31,38
11,23,51,"0,78","0,4",0,"0,04","1,21",31,39
10,23,51,"0,86","0,23",0,"0,12","1,2",31,40
13,22,51,"0,86","0,27","0,01","0,04","1,19",30,39
15,18,51,"0,85","0,31",0,"0,02","1,18",30,40
3,23,51,"0,98","0,04",0,"0,16","1,17",32,39
6,23,51,0,"1,12",0,"0,03","1,15",32,40
3,22,51,"0,44","0,34","0,25","0,11","1,14",32,39
4,22,51,"0,43","0,51","0,02","0,19","1,14",31,38
9,21,51,"0,65","0,37",0,"0,11","1,13",31,40
3,19,51,"0,55","0,43",0,"0,14","1,12",30,37
11,23,51,"0,66","0,4",0,"0,05","1,12",31,39
3,21,51,"0,28","0,3",0,"0,54","1,12",31,39
11,22,51,"0,82","0,26",0,"0,04","1,12",31,40
4,21,51,"0,53","0,39",0,"0,17","1,09",31,40
7,27,51,"0,54","0,33","0,01","0,22","1,09",31,38
3,23,51,"0,89","0,03",0,"0,15","1,07",31,40
9,21,51,"0,57","0,39",0,"0,11","1,07",31,40
4,22,51,"0,37","0,49",0,"0,2","1,06",33,39
15,22,51,"0,76","0,28",0,"0,02","1,06",30,38
2,23,51,"0,95","0,01","0,01","0,08","1,05",31,39
4,22,51,"0,44","0,42",0,"0,17","1,03",33,39
4,20,51,"0,44","0,42",0,"0,17","1,02",33,40
13,20,51,"0,73","0,26","0,01","0,03","1,02",30,38
9,22,51,"0,62","0,31",0,"0,09","1,02",33,39
4,21,51,"0,73","0,15",0,"0,11","0,99",31,38
1,21,51,"0,59","0,29",0,"0,09","0,97",33,39
9,22,51,"0,53","0,34",0,"0,1","0,97",33,39
1,21,51,"0,47","0,41",0,"0,09","0,96",31,39
4,22,51,"0,39","0,39",0,"0,16","0,94",33,39
1,18,51,"0,69","0,17",0,"0,08","0,94",33,37
11,18,51,"0,59","0,3",0,"0,04","0,93",31,40
1,21,51,"0,4","0,43",0,"0,1","0,93",31,40
5,21,51,"0,37","0,41",0,"0,15","0,93",31,40
9,21,51,"0,87",0,0,"0,06","0,93",33,37
1,22,51,"0,5","0,32",0,"0,09","0,91",33,38
3,18,51,"0,45","0,35",0,"0,12","0,91",31,38
9,27,51,"0,68","0,15",0,"0,08","0,9",31,39
3,20,51,"0,74","0,03","0,01","0,12","0,9",31,37
4,21,51,"0,42","0,34",0,"0,14","0,9",31,40
11,27,51,"0,62","0,24",0,"0,04","0,9",31,40
2,23,51,"0,56","0,25",0,"0,08","0,89",31,39
4,22,51,"0,47","0,29",0,"0,13","0,89",33,38
6,23,51,"0,01","0,79",0,"0,09","0,88",32,40
3,18,51,"0,72","0,03",0,"0,12","0,87",31,38
9,21,51,"0,47","0,31",0,"0,08","0,86",31,39
13,22,51,"0,65","0,17",0,"0,02","0,84",31,40
9,21,51,"0,65","0,12",0,"0,06","0,83",31,40
1,23,51,"0,55","0,2",0,"0,08","0,83",32,38
13,18,51,"0,64","0,17",0,"0,02","0,82",31,40
3,27,51,"0,69","0,03",0,"0,11","0,82",31,40
7,18,51,"0,46","0,21",0,"0,15","0,82",31,40
4,21,51,"0,33","0,34",0,"0,13","0,81",31,39
9,21,51,"0,52","0,2",0,"0,07","0,8",31,40
3,21,51,"0,61",0,0,"0,18","0,79",31,39
9,22,51,"0,48","0,24",0,"0,07","0,79",32,39
9,21,51,"0,51","0,21",0,"0,07","0,79",33,39
4,23,51,"0,33","0,33",0,"0,12","0,78",31,39
1,21,51,"0,46","0,23",0,"0,07","0,76",31,40
4,21,51,"0,47","0,19",0,"0,1","0,76",31,40
3,22,51,"0,57","0,02","0,07","0,09","0,76",32,38
3,22,51,"0,37","0,29",0,"0,1","0,75",30,38
11,18,51,"0,48","0,24",0,"0,03","0,75",31,40
4,22,51,"0,37","0,28",0,"0,11","0,75",32,39
4,21,51,"0,41","0,23",0,"0,11","0,74",33,39
4,27,51,"0,49","0,15",0,"0,09","0,73",31,39
3,22,51,"0,6","0,02",0,"0,1","0,72",31,39
12,22,51,"0,4","0,26",0,"0,06","0,72",33,40
1,22,51,"0,36","0,29",0,"0,07","0,72",31,37
8,25,51,"0,4","0,27",0,"0,05","0,72",31,39
4,19,51,"0,22","0,36","0,02","0,12","0,72",33,40
6,23,51,"0,24","0,41",0,"0,05","0,71",32,38
11,23,51,"0,53","0,15",0,"0,03","0,71",32,39
13,18,51,"0,54","0,14",0,"0,02","0,7",31,40
7,22,51,"0,35","0,21",0,"0,14","0,7",31,38
11,22,51,"0,52","0,16",0,"0,02","0,7",31,37
4,23,51,"0,18","0,36","0,02","0,13","0,7",31,38
15,22,51,"0,49","0,18",0,"0,01","0,68",30,38
11,23,51,"0,49","0,16",0,"0,02","0,67",32,40
4,20,51,"0,26","0,29","0,02","0,11","0,67",31,38
11,23,51,"0,48","0,17",0,"0,02","0,67",31,39
1,22,51,"0,59","0,03",0,"0,05","0,66",30,38
3,18,51,"0,55","0,02",0,"0,09","0,66",31,38
3,22,51,"0,24",0,0,"0,41","0,65",33,39
1,22,51,"0,29","0,28","0,01","0,07","0,65",31,37
6,23,51,"0,28","0,31",0,"0,05","0,65",31,40
3,20,51,"0,31","0,24",0,"0,08","0,64",31,37
3,20,51,"0,31","0,24",0,"0,08","0,64",30,38
3,27,51,"0,53","0,02",0,"0,09","0,63",31,40
11,18,51,"0,41","0,19",0,"0,03","0,63",31,39
4,23,51,"0,25","0,27",0,"0,11","0,63",32,39
9,23,51,"0,46","0,11",0,"0,05","0,63",32,37
14,22,51,"0,38","0,2",0,"0,05","0,63",30,38
8,20,51,"0,35","0,24",0,"0,04","0,63",30,37
4,18,51,"0,3","0,22","0,01","0,1","0,63",31,39
11,18,51,"0,4","0,2",0,"0,03","0,62",31,39
4,21,51,"0,28","0,24",0,"0,1","0,62",31,40
1,21,51,"0,48","0,09",0,"0,04","0,62",31,40
9,18,51,"0,46","0,1",0,"0,05","0,61",33,37
15,22,51,"0,43","0,16",0,"0,01","0,61",30,40
15,18,51,"0,43","0,16",0,"0,01","0,6",30,40
4,18,51,"0,38","0,14",0,"0,08","0,6",33,37
10,21,51,"0,33","0,21",0,"0,05","0,6",31,40
9,19,51,"0,25","0,27",0,"0,06","0,59",33,40
12,20,51,"0,38","0,15",0,"0,05","0,59",33,40
2,23,51,"0,5","0,04",0,"0,04","0,58",31,39
1,21,51,"0,31","0,21",0,"0,06","0,58",31,39
14,22,51,"0,33","0,2",0,"0,05","0,58",33,40
8,22,51,"0,32","0,22",0,"0,04","0,58",32,39
13,18,51,"0,45","0,12",0,"0,02","0,58",31,40
15,18,51,"0,41","0,15",0,"0,01","0,57",30,40
11,19,51,"0,42","0,11","0,02","0,02","0,57",31,39
9,20,51,"0,49","0,04",0,"0,04","0,57",31,38
13,22,51,"0,44","0,11",0,"0,02","0,56",32,39
3,18,51,"0,28","0,21",0,"0,07","0,56",31,37
7,18,51,"0,41","0,07",0,"0,07","0,56",31,38
9,18,51,"0,49","0,02",0,"0,04","0,56",31,39
9,23,51,"0,28","0,22",0,"0,06","0,56",32,39
6,29,51,"0,22","0,29",0,"0,04","0,55",31,40
11,18,51,"0,34","0,18",0,"0,02","0,55",31,40
11,20,51,"0,4","0,13",0,"0,02","0,55",30,39
11,23,51,"0,46","0,06",0,"0,02","0,54",31,39
3,20,51,"0,45","0,02",0,"0,07","0,54",33,37
8,18,51,"0,3","0,2",0,"0,04","0,54",30,40
13,27,51,"0,41","0,11",0,"0,01","0,53",31,40
12,22,51,"0,28","0,21",0,"0,05","0,53",33,40
3,23,51,"0,26","0,2",0,"0,07","0,53",32,38
11,23,51,"0,38","0,12",0,"0,02","0,52",32,39
15,18,51,"0,37","0,14",0,"0,01","0,52",30,40
4,22,51,"0,21","0,21",0,"0,09","0,51",33,39
4,23,51,"0,28","0,15",0,"0,08","0,51",32,37
3,21,51,"0,25","0,19",0,"0,06","0,5",30,39
9,23,51,"0,25","0,2",0,"0,05","0,5",31,39
3,26,51,"0,24","0,19",0,"0,06","0,5",31,40
13,18,51,"0,38","0,1",0,"0,01","0,5",31,40
3,22,51,"0,24","0,19",0,"0,06","0,5",33,38
3,22,51,"0,41","0,01",0,"0,07","0,5",31,38
2,22,51,"0,41","0,02","0,03","0,04","0,5",30,38
9,18,51,"0,44","0,02",0,"0,04","0,49",31,40
3,22,51,"0,4","0,02",0,"0,07","0,48",33,37
3,25,51,"0,23","0,18",0,"0,06","0,47",31,38
1,20,51,"0,42","0,02",0,"0,04","0,47",31,37
9,23,51,"0,2","0,23",0,"0,05","0,47",31,38
3,21,51,"0,39","0,01",0,"0,06","0,47",33,37
2,20,51,"0,41","0,02",0,"0,04","0,47",33,39
3,18,51,"0,23","0,18",0,"0,06","0,46",31,39
5,22,51,"0,21","0,18",0,"0,08","0,46",33,39
8,19,51,"0,25","0,17",0,"0,03","0,46",31,38
11,23,51,"0,34","0,1",0,"0,02","0,45",31,39
9,23,51,"0,3","0,11",0,"0,04","0,45",31,38
4,22,51,"0,23","0,14",0,"0,08","0,45",32,38
3,22,51,"0,22","0,17",0,"0,06","0,44",31,38
11,27,51,"0,3","0,12",0,"0,02","0,44",31,40
4,18,51,"0,36","0,04",0,"0,04","0,44",31,39
9,22,51,"0,28","0,12",0,"0,04","0,44",31,39
2,21,51,"0,21","0,19",0,"0,05","0,44",33,38
4,22,51,"0,26","0,12",0,"0,05","0,44",31,39
9,22,51,"0,26","0,13",0,"0,04","0,44",32,38
11,26,51,"0,35","0,07",0,"0,02","0,44",31,39
13,18,51,"0,33","0,08",0,"0,01","0,42",31,39
9,21,51,"0,23","0,15",0,"0,04","0,42",31,39
15,20,51,"0,3","0,11",0,"0,01","0,42",30,39
1,22,51,"0,23","0,15",0,"0,04","0,42",33,37
6,23,51,"0,15","0,24",0,"0,03","0,42",32,39
3,22,51,"0,2","0,16",0,"0,05","0,41",31,37
12,23,51,"0,2","0,18",0,"0,03","0,41",32,40
3,22,51,"0,2","0,15",0,"0,05","0,41",31,37
9,22,51,"0,36","0,02",0,"0,03","0,4",31,38
1,27,51,"0,36",0,0,"0,03","0,4",31,39
5,20,51,"0,21","0,12",0,"0,07","0,4",33,39
13,23,51,"0,31","0,08",0,"0,01","0,4",31,39
11,22,51,"0,26","0,11",0,"0,02","0,39",31,39
4,22,51,"0,19","0,14",0,"0,06","0,39",31,39
10,22,51,"0,28","0,07",0,"0,04","0,38",33,39
4,27,51,"0,33","0,02",0,"0,03","0,38",31,39
12,22,51,"0,22","0,12",0,"0,03","0,38",33,40
3,22,51,"0,12",0,0,"0,26","0,38",30,37
6,27,51,"0,14","0,2",0,"0,03","0,37",31,40
13,22,51,"0,29","0,07",0,"0,01","0,37",31,39
3,22,51,"0,31","0,01",0,"0,05","0,37",33,38
2,21,51,"0,13","0,2",0,"0,04","0,37",33,38
9,23,51,"0,32","0,02",0,"0,03","0,37",32,39
7,27,51,"0,33",0,0,"0,03","0,37",31,40
8,19,51,"0,2","0,14",0,"0,02","0,36",31,37
9,22,51,"0,24","0,08",0,"0,03","0,36",31,39
